Start Time, End Time, Color, Thruster
2018-04-19T12:30:28.000000000, 2018-04-19T15:29:07.000000000,0xFF0000, Thruster
2018-05-03T11:50:00.000000000, 2018-05-03T13:09:11.000000000,0xFF0000, Thruster
2018-05-24T13:50:10.000000000, 2018-05-24T17:12:54.000000000,0xFF0000, Thruster
2018-06-14T11:52:15.000000000, 2018-06-14T12:56:58.000000000,0xFF0000, Thruster
2018-07-05T18:21:25.000000000, 2018-07-05T21:38:33.000000000,0xFF0000, Thruster
2018-07-26T11:20:18.000000000, 2018-07-26T14:46:56.000000000,0xFF0000, Thruster
2018-08-07T12:15:06.000000000, 2018-08-07T12:16:37.000000000,0xFF0000, Thruster
2018-08-07T12:15:06.000000000, 2018-08-07T12:16:37.000000000,0xFF0000, Thruster2
2018-08-21T12:00:10.000000000, 2018-08-21T15:50:10.000000000,0xFF0000, Thruster
2018-09-06T13:00:14.000000000, 2018-09-06T15:14:59.000000000,0xFF0000, Thruster
2018-09-27T12:15:02.000000000, 2018-09-27T15:22:02.000000000,0xFF0000, Thruster
2018-10-18T18:30:07.000000000, 2018-10-18T21:41:52.000000000,0xFF0000, Thruster
2018-11-28T20:40:08.000000000, 2018-11-28T23:42:26.000000000,0xFF0000, Thruster
2018-12-20T20:55:08.000000000, 2018-12-20T23:51:44.000000000,0xFF0000, Thruster
2019-01-10T17:55:05.000000000, 2019-01-10T20:40:56.000000000,0xFF0000, Thruster
2019-01-16T20:09:06.000000000, 2019-01-16T22:09:07.000000000,0xFF0000, Thruster
2019-01-16T20:09:06.000000000, 2019-01-16T22:09:07.000000000,0xFF0000, Thruster2
2019-01-31T23:15:03.000000000, 2019-01-31T23:59:53.000000000,0xFF0000, Thruster
2019-02-01T00:00:02.000000000, 2019-02-01T02:15:50.000000000,0xFF0000, Thruster
2019-02-07T16:05:11.000000000, 2019-02-07T17:01:37.000000000,0xFF0000, Thruster
2019-02-07T16:05:11.000000000, 2019-02-07T17:01:37.000000000,0xFF0000, Thruster
2019-02-27T19:00:10.000000000, 2019-02-27T19:09:11.000000000,0xFF0000, Thruster
2019-02-27T19:00:10.000000000, 2019-02-27T19:09:11.000000000,0xFF0000, Thruster2
2019-03-06T20:30:22.000000000, 2019-03-06T23:59:54.000000000,0xFF0000, Thruster
2019-03-07T00:00:03.000000000, 2019-03-07T00:23:15.000000000,0xFF0000, Thruster
2019-03-11T19:45:05.000000000, 2019-03-11T21:45:06.000000000,0xFF0000, Thruster
2019-03-11T19:45:05.000000000, 2019-03-11T21:45:06.000000000,0xFF0000, Thruster2
2019-03-14T18:50:04.000000000, 2019-03-14T19:12:57.000000000,0xFF0000, Thruster
2019-03-14T18:50:04.000000000, 2019-03-14T19:12:57.000000000,0xFF0000, Thruster2
2019-03-14T18:50:04.000000000, 2019-03-14T20:50:05.000000000,0xFF0000, Thruster
2019-03-14T18:50:04.000000000, 2019-03-14T20:50:05.000000000,0xFF0000, Thruster2
