#Start Time, End Time, Color, Charging Event, Max Charge
2014-04-28T12:15:53.9370, 2014-04-28T13:42:17.8060,0xFF0000, Charging, 129.229
2014-04-28T16:52:41.9110, 2014-04-28T17:01:45.9660,0xFF0000, Charging, 33.9704
2014-04-28T17:09:45.8980, 2014-04-28T17:11:49.0210,0xFF0000, Charging, 7.04204
2014-04-28T17:14:33.8940, 2014-04-28T17:16:41.9550,0xFF0000, Charging, 8.99138
2014-04-28T17:36:57.8770, 2014-04-28T17:41:13.9990,0xFF0000, Charging, 24.1970
2014-04-28T17:51:53.8660, 2014-04-28T17:54:33.9260,0xFF0000, Charging, 3.52102
2014-04-28T17:55:05.8630, 2014-04-28T21:47:09.0560,0xFF0000, Charging, 4.28397
2014-04-28T21:47:10.3690, 2014-04-28T21:52:57.9890,0xFF0000, Charging, 2.06378
2014-04-28T21:57:45.7980, 2014-04-28T22:03:05.9190,0xFF0000, Charging, 2.40330
2014-04-28T22:03:37.8560, 2014-04-28T22:20:09.9680,0xFF0000, Charging, 2.99458
2014-04-28T22:27:05.8990, 2014-04-28T22:29:45.9600,0xFF0000, Charging, 4.03983
2014-04-28T22:42:02.0130, 2014-04-28T22:44:10.0110,0xFF0000, Charging, 2.29267
2014-04-28T22:46:18.0090, 2014-04-28T22:48:25.8830,0xFF0000, Charging, 14.2863
2014-04-28T22:54:17.9400, 2014-04-28T22:54:49.8770,0xFF0000, Charging, 6.92760
2014-04-28T22:58:33.9990, 2014-04-28T23:04:25.8700,0xFF0000, Charging, 12.7832
2014-04-28T23:06:33.9930, 2014-04-28T23:08:41.9290,0xFF0000, Charging, 4.81804
2014-04-28T23:09:13.8660, 2014-04-28T23:11:53.9890,0xFF0000, Charging, 7.27855
2014-04-28T23:18:49.8590, 2014-04-28T23:21:29.9190,0xFF0000, Charging, 3.81094
2014-04-28T23:23:05.8550, 2014-04-28T23:27:53.9770,0xFF0000, Charging, 5.25292
2014-04-28T23:30:01.8500, 2014-04-28T23:32:09.9110,0xFF0000, Charging, 6.38972
2014-04-28T23:34:17.9090, 2014-04-28T23:38:01.9690,0xFF0000, Charging, 8.25132
2014-04-28T23:47:05.8990, 2014-04-28T23:51:53.0210,0xFF0000, Charging, 13.4470
2014-04-28T23:52:24.8950, 2014-04-28T23:54:33.0190,0xFF0000, Charging, 11.2764
2014-04-28T23:56:40.8920, 2014-04-28T23:59:53.0140,0xFF0000, Charging, 6.90471
