MAVEN LPW LP Stub DAC-to-sweep voltage calibration Wed Sep 17 14:15:19 2014
DAC Step	V1	V2
851	28.8809	28.6620
852	28.8565	28.6402
853	28.8322	28.6138
854	28.8080	28.5859
855	28.7837	28.5580
856	28.7594	28.5317
857	28.7349	28.5095
858	28.7103	28.4889
859	28.6857	28.4689
860	28.6612	28.4483
861	28.6369	28.4263
862	28.6127	28.4034
863	28.5885	28.3795
864	28.5643	28.3543
865	28.5400	28.3267
866	28.5157	28.2981
867	28.4913	28.2696
868	28.4670	28.2427
869	28.4426	28.2199
870	28.4183	28.1985
871	28.3939	28.1771
872	28.3696	28.1544
873	28.3453	28.1269
874	28.3210	28.0981
875	28.2967	28.0698
876	28.2724	28.0436
877	28.2479	28.0235
878	28.2234	28.0055
879	28.1989	27.9874
880	28.1745	27.9670
881	28.1502	27.9407
882	28.1260	27.9120
883	28.1018	27.8825
884	28.0776	27.8537
885	28.0534	27.8274
886	28.0292	27.8021
887	28.0049	27.7780
888	27.9804	27.7549
889	27.9557	27.7333
890	27.9308	27.7126
891	27.9057	27.6919
892	27.8805	27.6703
893	27.8550	27.6472
894	27.8294	27.6231
895	27.8039	27.5979
896	27.7787	27.5718
897	27.7541	27.5449
898	27.7299	27.5171
899	27.7059	27.4888
900	27.6819	27.4604
901	27.6578	27.4314
902	27.6337	27.4024
903	27.6097	27.3744
904	27.5856	27.3480
905	27.5615	27.3245
906	27.5373	27.3026
907	27.5131	27.2814
908	27.4890	27.2600
909	27.4649	27.2368
910	27.4408	27.2132
911	27.4167	27.1895
912	27.3926	27.1662
913	27.3684	27.1444
914	27.3442	27.1227
915	27.3201	27.1006
916	27.2959	27.0772
917	27.2718	27.0509
918	27.2478	27.0234
919	27.2237	26.9959
920	27.1997	26.9694
921	27.1756	26.9455
922	27.1515	26.9227
923	27.1275	26.9007
924	27.1034	26.8789
925	27.0794	26.8567
926	27.0554	26.8346
927	27.0314	26.8124
928	27.0074	26.7901
929	26.9832	26.7679
930	26.9590	26.7454
931	26.9348	26.7224
932	26.9107	26.6984
933	26.8867	26.6735
934	26.8629	26.6477
935	26.8390	26.6212
936	26.8151	26.5940
937	26.7911	26.5653
938	26.7670	26.5363
939	26.7430	26.5081
940	26.7189	26.4819
941	26.6948	26.4590
942	26.6708	26.4382
943	26.6467	26.4184
944	26.6227	26.3989
945	26.5987	26.3788
946	26.5747	26.3586
947	26.5508	26.3379
948	26.5269	26.3163
949	26.5030	26.2932
950	26.4792	26.2692
951	26.4553	26.2446
952	26.4314	26.2201
953	26.4075	26.1970
954	26.3835	26.1738
955	26.3595	26.1500
956	26.3354	26.1248
957	26.3113	26.0965
958	26.2871	26.0670
959	26.2630	26.0378
960	26.2388	26.0102
961	26.2146	25.9861
962	26.1905	25.9638
963	26.1664	25.9426
964	26.1423	25.9217
965	26.1183	25.9013
966	26.0945	25.8809
967	26.0706	25.8595
968	26.0467	25.8361
969	26.0228	25.8087
970	25.9988	25.7794
971	25.9748	25.7498
972	25.9508	25.7214
973	25.9268	25.6960
974	25.9027	25.6721
975	25.8786	25.6494
976	25.8545	25.6276
977	25.8303	25.6067
978	25.8060	25.5865
979	25.7817	25.5661
980	25.7575	25.5446
981	25.7334	25.5202
982	25.7093	25.4948
983	25.6852	25.4694
984	25.6611	25.4452
985	25.6368	25.4241
986	25.6125	25.4042
987	25.5881	25.3845
988	25.5639	25.3640
989	25.5399	25.3419
990	25.5160	25.3189
991	25.4921	25.2948
992	25.4681	25.2697
993	25.4440	25.2428
994	25.4198	25.2151
995	25.3955	25.1875
996	25.3713	25.1612
997	25.3471	25.1380
998	25.3229	25.1160
999	25.2987	25.0944
1000	25.2746	25.0722
1001	25.2506	25.0475
1002	25.2265	25.0222
1003	25.2025	24.9971
1004	25.1784	24.9729
1005	25.1541	24.9514
1006	25.1298	24.9309
1007	25.1055	24.9103
1008	25.0812	24.8888
1009	25.0571	24.8644
1010	25.0330	24.8390
1011	25.0089	24.8135
1012	24.9849	24.7889
1013	24.9610	24.7665
1014	24.9371	24.7450
1015	24.9130	24.7239
1016	24.8888	24.7029
1017	24.8643	24.6821
1018	24.8395	24.6611
1019	24.8146	24.6391
1020	24.7895	24.6155
1021	24.7642	24.5896
1022	24.7389	24.5620
1023	24.7136	24.5335
1024	24.6887	24.5047
1025	24.6643	24.4758
1026	24.6403	24.4469
1027	24.6165	24.4187
1028	24.5927	24.3919
1029	24.5688	24.3675
1030	24.5448	24.3445
1031	24.5209	24.3223
1032	24.4970	24.3002
1033	24.4731	24.2781
1034	24.4492	24.2558
1035	24.4253	24.2326
1036	24.4014	24.2080
1037	24.3774	24.1798
1038	24.3533	24.1502
1039	24.3293	24.1211
1040	24.3052	24.0939
1041	24.2812	24.0715
1042	24.2572	24.0511
1043	24.2332	24.0315
1044	24.2093	24.0113
1045	24.1855	23.9882
1046	24.1617	23.9643
1047	24.1379	23.9403
1048	24.1141	23.9166
1049	24.0902	23.8954
1050	24.0662	23.8745
1051	24.0422	23.8528
1052	24.0182	23.8290
1053	23.9943	23.8001
1054	23.9705	23.7694
1055	23.9466	23.7390
1056	23.9228	23.7112
1057	23.8989	23.6896
1058	23.8750	23.6706
1059	23.8511	23.6525
1060	23.8272	23.6336
1061	23.8034	23.6123
1062	23.7796	23.5898
1063	23.7558	23.5658
1064	23.7320	23.5401
1065	23.7082	23.5109
1066	23.6843	23.4803
