MAVEN LPW LP Sweep DAC-to-sweep voltage calibration Wed Sep 03 15:19:55 2014
DAC Step	V1	V2
975	25.9046	25.7870
976	25.8804	25.7630
977	25.8561	25.7389
978	25.8318	25.7149
979	25.8075	25.6907
980	25.7832	25.6666
981	25.7591	25.6424
982	25.7350	25.6183
983	25.7109	25.5941
984	25.6868	25.5700
985	25.6625	25.5460
986	25.6381	25.5220
987	25.6138	25.4980
988	25.5895	25.4741
989	25.5655	25.4501
990	25.5415	25.4262
991	25.5176	25.4022
992	25.4936	25.3782
993	25.4694	25.3542
994	25.4452	25.3303
995	25.4209	25.3063
996	25.3966	25.2822
997	25.3724	25.2580
998	25.3482	25.2338
999	25.3241	25.2096
1000	25.3000	25.1854
1001	25.2759	25.1613
1002	25.2519	25.1373
1003	25.2278	25.1133
1004	25.2037	25.0893
1005	25.1794	25.0653
1006	25.1551	25.0414
1007	25.1308	25.0175
1008	25.1065	24.9935
1009	25.0824	24.9695
1010	25.0583	24.9455
1011	25.0343	24.9214
1012	25.0103	24.8974
1013	24.9863	24.8735
1014	24.9623	24.8497
1015	24.9382	24.8256
1016	24.9139	24.8014
1017	24.8893	24.7768
1018	24.8645	24.7520
1019	24.8395	24.7270
1020	24.8144	24.7019
1021	24.7891	24.6766
1022	24.7637	24.6513
1023	24.7384	24.6261
1024	24.7135	24.6011
1025	24.6891	24.5766
1026	24.6651	24.5523
1027	24.6412	24.5282
1028	24.6174	24.5041
1029	24.5934	24.4799
1030	24.5694	24.4558
1031	24.5454	24.4317
1032	24.5215	24.4077
1033	24.4976	24.3837
1034	24.4737	24.3598
1035	24.4498	24.3359
1036	24.4259	24.3120
1037	24.4020	24.2882
1038	24.3780	24.2643
1039	24.3540	24.2405
1040	24.3300	24.2166
1041	24.3059	24.1926
1042	24.2817	24.1685
1043	24.2576	24.1444
1044	24.2336	24.1204
1045	24.2097	24.0964
1046	24.1860	24.0725
1047	24.1622	24.0486
1048	24.1384	24.0247
1049	24.1144	24.0008
1050	24.0904	23.9769
1051	24.0664	23.9530
1052	24.0424	23.9291
1053	24.0185	23.9050
1054	23.9946	23.8809
1055	23.9707	23.8568
1056	23.9468	23.8328
1057	23.9228	23.8089
1058	23.8989	23.7852
1059	23.8749	23.7614
1060	23.8510	23.7376
1061	23.8272	23.7137
1062	23.8035	23.6898
1063	23.7798	23.6659
1064	23.7560	23.6419
1065	23.7321	23.6179
1066	23.7082	23.5940
1067	23.6843	23.5700
1068	23.6603	23.5461
1069	23.6363	23.5222
1070	23.6123	23.4983
1071	23.5884	23.4745
1072	23.5645	23.4506
1073	23.5407	23.4267
1074	23.5170	23.4027
1075	23.4932	23.3788
1076	23.4695	23.3549
1077	23.4457	23.3310
1078	23.4219	23.3072
1079	23.3981	23.2834
1080	23.3743	23.2595
1081	23.3505	23.2356
1082	23.3266	23.2117
1083	23.3027	23.1877
1084	23.2788	23.1637
1085	23.2548	23.1397
1086	23.2307	23.1157
1087	23.2067	23.0916
1088	23.1827	23.0675
1089	23.1588	23.0433
1090	23.1349	23.0192
1091	23.1110	22.9950
1092	23.0872	22.9709
1093	23.0634	22.9469
1094	23.0396	22.9230
1095	23.0158	22.8990
1096	22.9920	22.8751
1097	22.9682	22.8511
1098	22.9444	22.8270
1099	22.9206	22.8030
1100	22.8968	22.7790
1101	22.8729	22.7551
1102	22.8490	22.7312
1103	22.8250	22.7073
1104	22.8010	22.6834
1105	22.7769	22.6594
1106	22.7528	22.6353
1107	22.7288	22.6112
1108	22.7047	22.5871
1109	22.6808	22.5630
1110	22.6569	22.5389
1111	22.6330	22.5148
1112	22.6090	22.4907
1113	22.5849	22.4667
1114	22.5606	22.4428
1115	22.5364	22.4189
1116	22.5123	22.3950
1117	22.4883	22.3711
1118	22.4645	22.3472
1119	22.4406	22.3232
1120	22.4167	22.2993
1121	22.3927	22.2754
1122	22.3686	22.2515
1123	22.3445	22.2275
1124	22.3205	22.2035
1125	22.2965	22.1794
1126	22.2726	22.1552
1127	22.2486	22.1310
1128	22.2247	22.1068
1129	22.2008	22.0827
1130	22.1769	22.0587
